net,length_um
_0474_,5.46µm
_0017_,5.435µm
_0058_,5.435µm
_0490_,5.38µm
_0602_,5.38µm
net311,5.38µm
net327,5.38µm
net340,5.38µm
net398,5.38µm
_0505_,5.36µm
_0302_,5.34µm
_0319_,5.34µm
_0618_,5.34µm
_0645_,5.34µm
_0799_,5.34µm
_0807_,5.34µm
_0045_,5.315µm
_0435_,5.28µm
_0451_,5.28µm
_0434_,5.26µm
_0812_,5.26µm
net349,5.26µm
net368,5.26µm
net387,5.26µm
net391,5.26µm
_0407_,5.22µm
_0417_,5.22µm
_0623_,5.22µm
scratch\[6\]\[30\],5.22µm
net376,5.22µm
_0392_,5.2µm
_0549_,5.2µm
_0298_,5.16µm
_0320_,5.16µm
_0514_,5.16µm
net312,5.16µm
_0026_,5.135µm
_0200_,5.135µm
_0299_,5.12µm
_0312_,5.12µm
_0570_,5.12µm
_0481_,5.1µm
_0242_,5.085µm
_0485_,5.08µm
_0703_,5.08µm
net306,5.06µm
net443,5.06µm
_0096_,5.045µm
net288,5.04µm
_0253_,4.985µm
_0423_,4.97µm
_0644_,4.94µm
net423,4.94µm
